Time,Price,Signal,Reason
2026-08-16 20:00:00,1.15676,No Signal,
2026-08-16 20:30:00,1.15678,No Signal,
2026-08-17 01:45 AM PKT,1.15675,No Signal,
2026-08-17 02:00 AM PKT,1.15675,No Signal,
2026-08-17 02:30 AM PKT,1.15678,No Signal,
2026-08-17 02:45 AM PKT,1.15678,No Signal,
2026-08-17 03:45 AM PKT,1.1568,No Signal,
2026-08-17 04:30 AM PKT,1.157,No Signal,
2026-08-17 04:45 AM PKT,1.157,No Signal,
2026-08-17 05:30 AM PKT,1.15704,No Signal,
2026-08-17 05:45 AM PKT,1.15701,No Signal,
2026-08-17 06:30 AM PKT,1.15432,No Signal,
2026-08-17 06:45 AM PKT,1.15286,No Signal,
2026-08-17 07:30 AM PKT,1.15465,No Signal,
2026-08-17 08:00 AM PKT,1.15711,No Signal,
2026-08-17 08:30 AM PKT,1.15485,No Signal,
2026-08-17 08:45 AM PKT,1.15706,No Signal,
2026-08-17 09:30 AM PKT,1.15707,No Signal,
2026-08-17 10:00 AM PKT,1.15705,No Signal,
2026-08-17 10:30 AM PKT,1.15688,No Signal,
2026-08-17 10:30 AM PKT,1.15698,No Signal,
2026-08-17 10:45 AM PKT,1.15706,No Signal,
2026-08-17 11:30 AM PKT,1.15707,No Signal,
2026-08-17 11:45 AM PKT,1.15705,No Signal,
2026-08-17 12:15 PM PKT,1.15664,No Signal,
2026-08-17 12:45 PM PKT,1.15694,No Signal,
